,SUBJECT_10
training duration,86.26717758178711
,train,valid,test
logloss,0.5472521921580805,0.5812279745193438,0.8722146227468852
accuracy,0.9980125523012552,0.9821260583254939,0.9215686274509803
macro-precision,0.9953443758723521,0.9293940500782926,0.7544761155150765
macro-recall,0.9933378154851374,0.8614734222311943,0.7530606893530642
macro-f1,0.9942989814072547,0.8806821067325168,0.7491541320706753
weighted-f1,0.9980120051309143,0.9814477979221465,0.917663669250629
micro-f1,0.9980125523012552,0.9821260583254939,0.9215686274509803
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,1.0,1.0,1.0,0.9955470737913488,0.99626544096524,0.999122550453349,0.991869918699187,0.9836065573770492,0.989247311827957,0.9933774834437086,0.9958847736625513,0.9866666666666668
valid,1.0,0.99009900990099,1.0,0.9771428571428571,0.9844559585492227,1.0,0.6,0.8,0.7999999999999999,0.7777777777777777,0.8387096774193549,0.7999999999999999
test,0.9814814814814815,0.9583333333333333,0.972972972972973,0.8172043010752689,0.8440366972477064,1.0,1.0,missed_category,0.0,1.0,0.6666666666666666,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1565.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,6.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,1.0,0.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,92.0,0.0,0.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,171.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,3.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
SIT_TO_STAND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,53.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,1.0,46.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,1.0,1.0,36.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,38.0,17.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,0.0,46.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,59.0,0.0,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,missed_category,0.0,0.0,0.0,0.0
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,1,0,0,0,0,0,missed_category,0,0,1,0
LIE_TO_SIT,0,0,0,0,0,0,0,missed_category,0,1,0,0
STAND_TO_LIE,0,0,0,0,0,0,0,missed_category,1,0,2,0
LIE_TO_STAND,0,1,0,0,0,0,0,missed_category,0,0,0,0
,index,real_category,predicted_category
0,38,10,8
1,67,8,10
2,163,3,4
3,164,3,4
4,165,3,4
5,166,3,4
6,167,3,4
7,168,3,4
8,169,3,4
9,170,3,4
10,171,3,4
11,172,3,4
12,173,3,4
13,174,3,4
14,175,3,4
15,176,3,4
16,177,3,4
17,178,3,4
18,179,3,4
19,217,8,1
20,236,11,1
21,263,2,1
22,284,1,0
23,291,2,0
