,SUBJECT_13
training duration,84.06689453125
,train,valid,test
logloss,0.5461790376890359,0.5766837288457566,0.5574745090528467
accuracy,0.9982146607855492,0.9848914069877243,0.9942528735632183
macro-precision,0.9980544375873044,0.9147611805548315,0.9818965517241379
macro-recall,0.9940912310899851,0.8862748015873017,0.9555555555555556
macro-f1,0.9960419583552439,0.8967432312814531,0.9640901771336555
weighted-f1,0.9982136138915955,0.9844052757127785,0.9939780109945026
micro-f1,0.9982146607855492,0.9848914069877243,0.9942528735632183
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,1.0,0.999627004848937,1.0,0.995572422517394,0.9968106697593505,0.9994145199063232,0.9915966386554621,1.0,0.9945945945945946,0.9932885906040269,0.9958847736625513,0.9857142857142858
valid,1.0,0.9933333333333334,1.0,0.9857549857549858,0.9895833333333334,0.9973753280839895,1.0,1.0,0.888888888888889,0.5555555555555556,0.888888888888889,0.4615384615384615
test,0.9913043478260869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889,1.0,0.8,0.888888888888889
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1574.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,8.0,1719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,1.0,0.0,1707.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,69.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,173.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
