,SUBJECT_24
training duration,84.43748903274536
,train,valid,test
logloss,0.5457282327756945,0.5669831830739068,0.5820384700123856
accuracy,0.9984155487482835,0.9895437262357415,0.9804878048780488
macro-precision,0.9954464982148346,0.9565159917383147,0.9187214611872144
macro-recall,0.9935492064331978,0.9279627510746811,0.8787878787878788
macro-f1,0.99444675143949,0.9385940449294564,0.8945991390906646
weighted-f1,0.9984143680458182,0.9895139217720308,0.9790299185679507
micro-f1,0.9984155487482835,0.9895437262357415,0.9804878048780488
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,1.0,0.9996258885147775,1.0,0.996790757381258,0.9970879440885265,0.9994103773584906,0.9833333333333333,0.9836065573770492,0.9945945945945946,0.9931972789115647,1.0,0.9857142857142858
valid,1.0,0.9966555183946488,1.0,0.9855907780979827,0.9868766404199475,1.0,1.0,0.8,0.8571428571428572,0.9333333333333333,0.8799999999999999,0.823529411764706
test,0.983050847457627,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,missed_category,0.5,1.0,0.5714285714285715,0.8
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1553.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,5.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,1.0,0.0,1695.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,1.0,0.0,0.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0
